entry_idx,entry_time,entry_price,stop,target,exit_idx,exit_time,exit_price,pnl,exit_reason,confidence,pattern,trade_type,tenure
10,2018-01-17,41.98442077636719,41.24354022128613,43.4661818865293,15,2018-01-24,41.24354022128613,-0.7408805550810555,stop,0.945032388769943,engulf,LONG,swing
17,2018-01-26,40.205169677734375,41.067411474190955,38.480686084821215,18,2018-01-29,39.37300109863281,0.8321685791015625,signal_exit,0.5989680666981272,pin,SHORT,swing
24,2018-02-06,38.21731185913086,36.81732946650016,41.017276644392254,25,2018-02-07,37.39918899536133,-0.8181228637695312,signal_exit,0.7,engulf,LONG,swing
27,2018-02-09,36.81494522094727,38.51886408072441,33.40710750139299,28,2018-02-12,38.51886408072441,-1.70391885977714,stop,0.6226145407400043,pin,SHORT,swing
59,2018-03-28,39.1851692199707,40.612295309698126,36.33091704051586,60,2018-03-29,39.49116897583008,-0.305999755859375,signal_exit,0.529399852782753,pin,SHORT,swing
61,2018-04-02,39.23224639892578,37.69743509486933,42.30186900703869,62,2018-04-03,39.63473892211914,0.4024925231933594,signal_exit,0.5022379551180092,pin,LONG,swing
63,2018-04-04,40.39263916015625,38.75342278121353,43.67107191804169,64,2018-04-05,40.67274475097656,0.2801055908203125,signal_exit,0.7,engulf,LONG,swing
81,2018-04-30,38.89800262451172,37.680697671489995,41.33261253055517,82,2018-05-01,39.80184555053711,0.9038429260253906,signal_exit,0.6726195041164849,engulf,LONG,swing
86,2018-05-07,43.58196640014648,45.1901629597127,40.36557328101403,87,2018-05-08,43.79144287109375,-0.20947647094727273,signal_exit,0.9410968567919915,pin,SHORT,swing
103,2018-05-31,44.15406036376953,44.95505761098276,42.55206586934307,104,2018-06-01,44.95505761098276,-0.8009972472132318,stop,0.643300722786014,pin,SHORT,swing
105,2018-06-04,45.32602310180664,44.46705236758112,47.043964570257685,115,2018-06-18,44.46705236758112,-0.8589707342255224,stop,0.757246846873412,pin,LONG,swing
116,2018-06-19,43.8752555847168,42.980589222932245,45.6645883082859,118,2018-06-21,43.8209114074707,-0.05434417724609375,signal_exit,0.6847221633535344,pin,LONG,swing
137,2018-07-19,45.33784103393555,44.352035892720075,47.30945131636649,146,2018-08-01,47.30945131636649,1.9716102824309445,target,0.9173905931375625,engulf,LONG,swing
150,2018-08-07,48.93640899658203,50.279166250300015,46.25089448914606,151,2018-08-08,48.96949768066406,-0.03308868408203125,signal_exit,1.0,engulf,SHORT,swing
156,2018-08-15,49.850189208984375,48.453583264958226,52.64340109703667,166,2018-08-29,52.64340109703667,2.793211888052298,target,1.0,engulf,LONG,swing
169,2018-09-04,54.14665222167969,55.32212715104563,51.79570236294781,170,2018-09-05,53.79335021972656,0.353302001953125,signal_exit,0.8713731779123485,pin,SHORT,swing
172,2018-09-07,52.472652435302734,53.762701977442376,49.89255335102345,173,2018-09-10,51.76842498779297,0.7042274475097656,signal_exit,0.7521457316214651,pin,SHORT,swing
174,2018-09-11,53.07727813720703,51.63759435767503,55.95664569627104,178,2018-09-17,51.63759435767503,-1.4396837795320039,stop,0.85,engulf,LONG,swing
182,2018-09-21,51.60956954956055,53.421181725622674,47.98634519743629,183,2018-09-24,52.35172653198242,-0.742156982421875,signal_exit,0.85,engulf,SHORT,swing
196,2018-10-11,50.84843444824219,52.67478082824247,47.195741688241625,197,2018-10-12,52.67478082824247,-1.826346380000281,stop,0.5774373708952105,pin,SHORT,swing
204,2018-10-23,52.811710357666016,50.51842028457151,57.39829050385502,205,2018-10-24,51.00019454956055,-1.8115158081054688,signal_exit,0.7,engulf,LONG,swing
207,2018-10-26,51.287105560302734,48.85536005580554,56.15059656929712,208,2018-10-29,50.32442474365234,-0.9626808166503977,signal_exit,0.5069147435936462,pin,LONG,swing
209,2018-10-30,50.57576370239258,53.10074495290957,45.52580120135859,210,2018-10-31,51.89408874511719,-1.3183250427246094,signal_exit,0.7,inside,SHORT,swing
219,2018-11-13,45.73887252807617,43.00403279688719,51.20855199045414,220,2018-11-14,44.44686126708984,-1.2920112609863352,signal_exit,0.6455497828350492,pin,LONG,swing
221,2018-11-15,45.54375457763672,48.27752380342995,40.076216126050255,222,2018-11-16,46.04819107055664,-0.5044364929199219,signal_exit,0.7,inside,SHORT,swing
248,2018-12-27,37.15406036376953,34.96468792701831,41.53280523727197,249,2018-12-28,37.17310333251953,0.01904296875,signal_exit,0.7,pin,LONG,swing
254,2019-01-07,35.19820785522461,37.55405091359148,30.486521738490865,255,2019-01-08,35.86919021606445,-0.6709823608398438,signal_exit,0.7271321886668655,pin,SHORT,swing
271,2019-01-31,39.60245132446289,38.126636526626164,42.55408092013634,297,2019-03-11,42.55408092013634,2.9516295956734524,target,0.8306302838683075,pin,LONG,position
308,2019-03-26,44.635101318359375,46.263947887291,41.37740818049612,309,2019-03-27,45.03654861450195,-0.4014472961425781,signal_exit,0.9516267188178027,engulf,SHORT,swing
318,2019-04-09,47.67225646972656,49.15081309091193,44.715143227355824,319,2019-04-10,47.93989562988281,-0.26763916015625,signal_exit,0.8795570748732287,pin,SHORT,swing
333,2019-05-01,50.30559158325195,48.93661356726698,53.0435476152219,336,2019-05-06,48.93661356726698,-1.3689780159849718,stop,0.7651310423406169,pin,LONG,swing
339,2019-05-09,47.96379470825195,46.20053347879728,51.490317167161294,341,2019-05-13,46.20053347879728,-1.7632612294546703,stop,0.748007842183652,pin,LONG,swing
344,2019-05-16,45.59619140625,43.27951872132128,50.22953677610744,345,2019-05-17,45.33712387084961,-0.2590675354003906,signal_exit,0.5633604600329557,pin,LONG,swing
346,2019-05-20,43.91944122314453,46.371796270356846,39.0147311287199,347,2019-05-21,44.76142120361328,-0.84197998046875,signal_exit,0.5761663392468834,pin,SHORT,swing
349,2019-05-23,43.09665298461914,45.34760970037146,38.59473955311451,350,2019-05-24,42.93113708496094,0.16551589965820312,signal_exit,0.5710635895658793,pin,SHORT,swing
369,2019-06-21,47.683135986328125,49.15736558667542,44.73467678563354,370,2019-06-24,47.63516616821289,0.047969818115234375,signal_exit,0.9037027827384301,pin,SHORT,swing
395,2019-07-30,50.08192443847656,49.10835779139135,52.02905773264699,396,2019-07-31,52.02905773264699,1.9471332941704276,target,0.8035079077835696,pin,LONG,swing
400,2019-08-06,47.25615310668945,45.38509716483332,50.99826499040172,401,2019-08-07,47.74550628662109,0.4893531799316335,signal_exit,0.7,pin,LONG,swing
406,2019-08-14,48.82024002075195,51.13445823820333,44.1918035858492,407,2019-08-15,48.57705307006836,0.24318695068359375,signal_exit,0.85,pin,SHORT,swing
423,2019-09-09,51.570068359375,53.139677112995116,48.43085085213477,424,2019-09-10,52.17927169799805,-0.6092033386230469,signal_exit,0.8309120047282403,pin,SHORT,swing
434,2019-09-24,52.41524505615234,53.896621860908006,49.452491446641,435,2019-09-25,53.22189331054688,-0.8066482543945455,signal_exit,0.85,engulf,SHORT,swing
439,2019-10-01,54.0791130065918,55.46013309187029,51.31707283603481,440,2019-10-02,52.72345733642578,1.3556556701660156,signal_exit,0.7634318953901019,pin,SHORT,swing
443,2019-10-07,54.67384719848633,53.05160680457561,57.91832798630776,453,2019-10-21,57.91832798630776,3.2444807878214306,target,0.8806843703598671,pin,LONG,swing
461,2019-10-31,59.899017333984375,58.418157170724804,62.86073766050352,466,2019-11-07,62.86073766050352,2.961720326519142,target,0.9351807864871997,pin,LONG,swing
470,2019-11-13,63.87300491333008,62.309028309053915,67.0009581218824,483,2019-12-03,62.309028309053915,-1.5639766042761636,stop,1.0,engulf,LONG,position
488,2019-12-10,64.84149932861328,66.45540927443018,61.61367943697948,489,2019-12-11,65.3945541381836,-0.5530548095703125,signal_exit,0.85,pin,SHORT,swing
490,2019-12-12,65.56121063232422,63.96955681479401,68.74451826738463,498,2019-12-24,68.74451826738463,3.183307635060416,target,0.8255111609737557,engulf,LONG,swing
501,2019-12-30,70.40595245361328,68.85439845147184,73.50906045789617,507,2020-01-08,73.50906045789617,3.1031080042828876,target,0.9121191198033072,engulf,LONG,swing
509,2020-01-10,74.94881439208984,76.88075367953856,71.08493581719242,510,2020-01-13,76.55004119873047,-1.601226806640625,signal_exit,0.7882335070942829,pin,SHORT,swing
519,2020-01-27,74.61551666259766,76.63750296199737,70.57154406379823,520,2020-01-28,76.63750296199737,-2.021986299399714,stop,0.686285439671171,pin,SHORT,swing
521,2020-01-29,78.3324203491211,80.5849676350871,73.82732577718909,522,2020-01-30,78.21890258789062,0.11351776123046875,signal_exit,0.6602005103556918,pin,SHORT,swing
538,2020-02-24,72.18536376953125,69.28452706924739,77.98703717009897,539,2020-02-25,69.28452706924739,-2.900836700283861,stop,0.5148497288116916,pin,LONG,swing
540,2020-02-26,70.84661865234375,74.03095670826747,64.47794254049631,541,2020-02-27,66.21549224853516,4.631126403808594,signal_exit,0.7,inside,SHORT,swing
545,2020-03-04,73.28925323486328,78.2944714738462,63.27881675689744,546,2020-03-05,70.9119644165039,2.377288818359375,signal_exit,0.7,inside,SHORT,swing
548,2020-03-09,64.43616485595703,58.60794156035123,76.09261144716864,549,2020-03-10,69.07695770263672,4.6407928466796875,signal_exit,0.6159704652870047,pin,LONG,swing
550,2020-03-11,66.6778564453125,73.06997122836137,53.893626879214764,551,2020-03-12,60.09312057495117,6.584735870361328,signal_exit,0.7,inside,SHORT,swing
553,2020-03-16,58.635772705078125,51.02665298871745,73.85401213779947,554,2020-03-17,61.21397399902344,2.5782012939453125,signal_exit,0.6536685897446153,pin,LONG,swing
558,2020-03-23,54.31695175170898,61.5694234248104,39.81200840550613,559,2020-03-24,59.76630401611328,-5.449352264404304,signal_exit,0.5960351153819923,pin,SHORT,swing
576,2020-04-17,68.46205139160156,72.1283676964621,61.129418781880474,577,2020-04-20,67.04100799560547,1.4210433959960938,signal_exit,0.8354801439675775,pin,SHORT,swing
586,2020-05-01,69.97996520996094,66.79531645489325,76.3492627200963,592,2020-05-11,76.3492627200963,6.369297510135368,target,0.9020531493459027,pin,LONG,swing
605,2020-05-29,77.17733001708984,79.89126589366535,71.74945826393883,606,2020-06-01,78.1264419555664,-0.9491119384765625,signal_exit,0.85,inside,SHORT,swing
617,2020-06-16,85.46453857421875,82.20781526968261,91.97798518329103,632,2020-07-08,91.97798518329103,6.513446609072275,target,0.9179236557708006,pin,LONG,position
650,2020-08-03,105.77473449707033,101.06701706325552,115.19016936469994,664,2020-08-21,115.19016936469994,9.415434867629614,target,0.8883845627302049,pin,LONG,position
666,2020-08-25,121.41949462890624,116.52620185197003,131.20608018277863,672,2020-09-02,131.20608018277863,9.7865855538724,target,0.9092836446051,pin,LONG,swing
674,2020-09-04,117.65995025634766,109.85909816336566,133.26165444231165,675,2020-09-08,109.85909816336566,-7.800852092981998,stop,0.7366511180251476,pin,LONG,swing
683,2020-09-18,103.92516326904295,113.91593186645915,83.94362607421057,684,2020-09-21,107.07676696777344,-3.151603698730483,signal_exit,0.7,engulf,SHORT,swing
719,2020-11-09,113.34173583984376,119.40582637307534,101.21355477338061,720,2020-11-10,113.0007095336914,0.34102630615235796,signal_exit,1.0,engulf,SHORT,swing
740,2020-12-09,118.66193389892578,122.55917576084491,110.86745017508753,741,2020-12-10,120.08455657958984,-1.4226226806640625,signal_exit,1.0,engulf,SHORT,swing
747,2020-12-18,123.41699981689452,127.58777010685422,115.0754592369751,748,2020-12-21,124.9468002319336,-1.5298004150390767,signal_exit,1.0,engulf,SHORT,swing
749,2020-12-22,128.50332641601562,123.90034453470004,137.7092901786468,756,2021-01-04,123.90034453470004,-4.602981881315586,stop,0.8126045032569117,pin,LONG,swing
758,2021-01-06,123.35853576660156,128.78835408148166,112.49889913684137,759,2021-01-07,127.56792449951172,-4.209388732910156,signal_exit,0.7352246420968902,pin,SHORT,swing
770,2021-01-25,139.26068115234375,145.28036521213116,127.22131303276893,771,2021-01-26,139.49452209472656,-0.2338409423828125,signal_exit,0.8984796540628527,pin,SHORT,swing
790,2021-02-23,122.82073211669922,118.30793940067112,131.84631754875542,791,2021-02-24,122.32306671142578,-0.4976654052734375,signal_exit,0.5581732184400274,pin,LONG,swing
793,2021-02-26,118.33181762695312,123.49686355869797,108.00172576346344,794,2021-03-01,123.49686355869797,-5.165045931744842,stop,0.7,inside,SHORT,swing
798,2021-03-05,118.48795318603516,112.01805724940358,131.4277450592983,799,2021-03-08,113.55013275146484,-4.9378204345703125,signal_exit,0.6121282854823351,pin,LONG,swing
808,2021-03-19,117.09249114990234,111.53953928948035,128.19839487074634,809,2021-03-22,120.41036987304688,3.3178787231445312,signal_exit,0.7791434151785732,pin,LONG,swing
816,2021-03-31,119.20033264160156,114.87695907990727,127.84707976499016,817,2021-04-01,120.02979278564452,0.8294601440429545,signal_exit,0.6812232809683243,pin,LONG,swing
829,2021-04-20,129.89566040039062,133.91792188598606,121.85113742919975,830,2021-04-21,130.27627563476562,-0.380615234375,signal_exit,0.8872181728145859,engulf,SHORT,swing
836,2021-04-29,130.2567138671875,134.1326014052737,122.50493879101509,837,2021-04-30,128.28550720214844,1.9712066650390625,signal_exit,0.85,engulf,SHORT,swing
846,2021-05-13,122.15937042236328,117.78395715071699,130.91019696565587,847,2021-05-14,124.58358764648438,2.4242172241210938,signal_exit,0.5497355949718636,pin,LONG,swing
869,2021-06-16,127.22286987304688,130.04438201823297,121.5798455826747,870,2021-06-17,128.8260040283203,-1.6031341552734375,signal_exit,0.8781880290357427,pin,SHORT,swing
871,2021-06-18,127.5259017944336,124.63735745745258,133.30299046839562,878,2021-06-29,133.30299046839562,5.777088673962027,target,1.0,pin,LONG,swing
897,2021-07-27,143.46908569335938,148.19988231866373,134.00749244275067,898,2021-07-28,141.71934509277344,1.7497406005859375,signal_exit,0.85,engulf,SHORT,swing
911,2021-08-16,147.9425506591797,144.6180040774414,154.59164382265624,913,2021-08-18,144.6180040774414,-3.324546581738275,stop,0.85,engulf,LONG,swing
922,2021-08-31,148.63766479492188,144.61617613140487,156.68064212195588,931,2021-09-14,144.61617613140487,-4.021488663517005,stop,1.0,inside,LONG,swing
932,2021-09-15,145.8965301513672,141.47856158902275,154.73246727605607,934,2021-09-17,142.9889373779297,-2.9075927734375,signal_exit,0.735341656891788,pin,LONG,swing
943,2021-09-30,138.52484130859375,142.73617078673396,130.10218235231332,944,2021-10-01,139.6506805419922,-1.1258392333984375,signal_exit,0.7,engulf,SHORT,swing
955,2021-10-18,143.4686737060547,139.2615267182754,151.88296768161325,977,2021-11-17,151.88296768161325,8.414293975558564,target,0.85,engulf,LONG,position
980,2021-11-22,157.86448669433594,162.10342645520285,149.3866071726021,981,2021-11-23,158.24685668945312,-0.3823699951171875,signal_exit,0.9421282453355144,pin,SHORT,swing
992,2021-12-09,171.13909912109375,178.36711764918417,156.68306206491292,993,2021-12-10,175.93325805664062,-4.794158935546875,signal_exit,0.8600699854960694,pin,SHORT,swing
